,year,Dataset_AffiliationId_Last,count,total,percent,gini
0,2020,97018004.0,1097,12765,0.08593811202506854,0.8307380311587885
1,2020,1290206253.0,922,12765,0.07222875048962006,0.8307380311587885
2,2020,20089843.0,844,12765,0.06611829220524873,0.8307380311587885
3,2020,1291425158.0,627,12765,0.0491186839012926,0.8307380311587885
4,2020,149899117.0,611,12765,0.04786525656090874,0.8307380311587885
5,2020,2252078561.0,355,12765,0.027810419114766942,0.8307380311587885
6,2020,177725633.0,340,12765,0.026635330983157072,0.8307380311587885
7,2020,160992636.0,329,12765,0.025773599686643164,0.8307380311587885
8,2020,1283103587.0,314,12765,0.024598511555033294,0.8307380311587885
9,2020,57206974.0,295,12765,0.023110066588327458,0.8307380311587885
10,2020,95457486.0,282,12765,0.02209165687426557,0.8307380311587885
11,2020,40120149.0,225,12765,0.01762632197414806,0.8307380311587885
12,2020,130701444.0,222,12765,0.017391304347826087,0.8307380311587885
13,2020,201448701.0,216,12765,0.01692126909518214,0.8307380311587885
14,2020,2945602774.0,206,12765,0.016137877007442226,0.8307380311587885
15,2020,99065089.0,182,12765,0.014257735996866432,0.8307380311587885
16,2020,55732556.0,172,12765,0.013474343909126519,0.8307380311587885
17,2020,145311948.0,168,12765,0.013160987074030552,0.8307380311587885
18,2020,35440088.0,164,12765,0.012847630238934586,0.8307380311587885
19,2020,63966007.0,150,12765,0.011750881316098707,0.8307380311587885
20,2020,74973139.0,148,12765,0.011594202898550725,0.8307380311587885
21,2020,122411786.0,141,12765,0.011045828437132785,0.8307380311587885
22,2020,1304085615.0,134,12765,0.010497453975714846,0.8307380311587885
23,2020,156087764.0,115,12765,0.009009009009009009,0.8307380311587885
24,2020,1343180700.0,113,12765,0.008852330591461026,0.8307380311587885
25,2020,19820366.0,102,12765,0.007990599294947122,0.8307380311587885
26,2020,66946132.0,102,12765,0.007990599294947122,0.8307380311587885
27,2020,157725225.0,102,12765,0.007990599294947122,0.8307380311587885
28,2020,106165777.0,98,12765,0.007677242459851155,0.8307380311587885
29,2020,27804330.0,94,12765,0.00736388562475519,0.8307380311587885
30,2020,110883965.0,93,12765,0.007285546415981199,0.8307380311587885
31,2020,172675005.0,90,12765,0.007050528789659225,0.8307380311587885
32,2020,70931966.0,87,12765,0.006815511163337251,0.8307380311587885
33,2020,1341412227.0,84,12765,0.006580493537015276,0.8307380311587885
34,2020,185103710.0,75,12765,0.005875440658049354,0.8307380311587885
35,2020,205783295.0,75,12765,0.005875440658049354,0.8307380311587885
36,2020,123044942.0,74,12765,0.005797101449275362,0.8307380311587885
37,2020,130238516.0,74,12765,0.005797101449275362,0.8307380311587885
38,2020,161318765.0,73,12765,0.005718762240501371,0.8307380311587885
39,2020,27837315.0,71,12765,0.005562083822953388,0.8307380311587885
40,2020,185261750.0,71,12765,0.005562083822953388,0.8307380311587885
41,2020,161046081.0,61,12765,0.004778691735213474,0.8307380311587885
42,2020,1298482675.0,61,12765,0.004778691735213474,0.8307380311587885
43,2020,187531555.0,60,12765,0.004700352526439483,0.8307380311587885
44,2020,170897317.0,59,12765,0.0046220133176654915,0.8307380311587885
45,2020,99464096.0,58,12765,0.0045436741088915,0.8307380311587885
46,2020,1174212.0,57,12765,0.004465334900117509,0.8307380311587885
47,2020,45129253.0,57,12765,0.004465334900117509,0.8307380311587885
48,2020,20231570.0,56,12765,0.0043869956913435175,0.8307380311587885
49,2020,114027177.0,55,12765,0.004308656482569526,0.8307380311587885
50,2020,142879360.0,54,12765,0.004230317273795535,0.8307380311587885
51,2020,111979921.0,52,12765,0.004073638856247552,0.8307380311587885
52,2020,151746483.0,51,12765,0.003995299647473561,0.8307380311587885
53,2020,45438204.0,48,12765,0.0037602820211515863,0.8307380311587885
54,2020,62916508.0,48,12765,0.0037602820211515863,0.8307380311587885
55,2020,149213910.0,47,12765,0.003681942812377595,0.8307380311587885
56,2020,166337079.0,43,12765,0.0033685859772816296,0.8307380311587885
57,2020,174306211.0,43,12765,0.0033685859772816296,0.8307380311587885
58,2020,1327163397.0,43,12765,0.0033685859772816296,0.8307380311587885
59,2020,98677209.0,39,12765,0.003055229142185664,0.8307380311587885
60,2020,139264467.0,38,12765,0.0029768899334116725,0.8307380311587885
61,2020,44504214.0,37,12765,0.002898550724637681,0.8307380311587885
62,2020,32971472.0,36,12765,0.00282021151586369,0.8307380311587885
63,2020,146230289.0,36,12765,0.00282021151586369,0.8307380311587885
64,2020,24185976.0,35,12765,0.0027418723070896985,0.8307380311587885
65,2020,889458895.0,35,12765,0.0027418723070896985,0.8307380311587885
66,2020,1325899441.0,35,12765,0.0027418723070896985,0.8307380311587885
67,2020,30809798.0,34,12765,0.002663533098315707,0.8307380311587885
68,2020,133738476.0,33,12765,0.0025851938895417154,0.8307380311587885
69,2020,168719708.0,33,12765,0.0025851938895417154,0.8307380311587885
70,2020,16391192.0,32,12765,0.002506854680767724,0.8307380311587885
71,2020,74801974.0,31,12765,0.0024285154719937327,0.8307380311587885
72,2020,165932596.0,31,12765,0.0024285154719937327,0.8307380311587885
73,2020,2250955327.0,31,12765,0.0024285154719937327,0.8307380311587885
74,2020,241749.0,29,12765,0.00227183705444575,0.8307380311587885
75,2020,71920554.0,29,12765,0.00227183705444575,0.8307380311587885
76,2020,135140700.0,27,12765,0.0021151586368977674,0.8307380311587885
77,2020,154570441.0,27,12765,0.0021151586368977674,0.8307380311587885
78,2020,192455969.0,27,12765,0.0021151586368977674,0.8307380311587885
79,2020,1306409833.0,27,12765,0.0021151586368977674,0.8307380311587885
80,2020,2277624104.0,25,12765,0.0019584802193497847,0.8307380311587885
81,2020,37461747.0,24,12765,0.0018801410105757932,0.8307380311587885
82,2020,86501945.0,24,12765,0.0018801410105757932,0.8307380311587885
83,2020,47508984.0,23,12765,0.0018018018018018018,0.8307380311587885
84,2020,154425047.0,23,12765,0.0018018018018018018,0.8307380311587885
85,2020,183067930.0,23,12765,0.0018018018018018018,0.8307380311587885
86,2020,36672615.0,21,12765,0.001645123384253819,0.8307380311587885
87,2020,145872427.0,21,12765,0.001645123384253819,0.8307380311587885
88,2020,1326498283.0,21,12765,0.001645123384253819,0.8307380311587885
89,2020,79576946.0,20,12765,0.0015667841754798276,0.8307380311587885
90,2020,98381234.0,20,12765,0.0015667841754798276,0.8307380311587885
91,2020,2250653659.0,20,12765,0.0015667841754798276,0.8307380311587885
92,2020,36258959.0,19,12765,0.0014884449667058363,0.8307380311587885
93,2020,161076350.0,19,12765,0.0014884449667058363,0.8307380311587885
94,2020,170201317.0,19,12765,0.0014884449667058363,0.8307380311587885
95,2020,887064364.0,19,12765,0.0014884449667058363,0.8307380311587885
96,2020,118347636.0,18,12765,0.001410105757931845,0.8307380311587885
97,2020,131651094.0,18,12765,0.001410105757931845,0.8307380311587885
98,2020,133731052.0,18,12765,0.001410105757931845,0.8307380311587885
99,2020,1299303238.0,18,12765,0.001410105757931845,0.8307380311587885
100,2020,64189192.0,17,12765,0.0013317665491578536,0.8307380311587885
101,2020,157773358.0,15,12765,0.0011750881316098707,0.8307380311587885
102,2020,202697423.0,15,12765,0.0011750881316098707,0.8307380311587885
103,2020,86519309.0,14,12765,0.0010967489228358794,0.8307380311587885
104,2020,99542240.0,14,12765,0.0010967489228358794,0.8307380311587885
105,2020,129604602.0,14,12765,0.0010967489228358794,0.8307380311587885
106,2020,200769079.0,14,12765,0.0010967489228358794,0.8307380311587885
107,2020,21250087.0,13,12765,0.001018409714061888,0.8307380311587885
108,2020,87216513.0,13,12765,0.001018409714061888,0.8307380311587885
109,2020,14243506.0,12,12765,0.0009400705052878966,0.8307380311587885
110,2020,189196454.0,12,12765,0.0009400705052878966,0.8307380311587885
111,2020,205237279.0,12,12765,0.0009400705052878966,0.8307380311587885
112,2020,861853513.0,12,12765,0.0009400705052878966,0.8307380311587885
113,2020,2898391981.0,12,12765,0.0009400705052878966,0.8307380311587885
114,2020,5124864.0,11,12765,0.0008617312965139052,0.8307380311587885
