,year,Dataset_AffiliationId_Last,count,total,percent,gini
0,2020,20089843.0,2375,23440,0.10132252559726962,0.8643824269450189
1,2020,97018004.0,2342,23440,0.09991467576791808,0.8643824269450189
2,2020,1290206253.0,1522,23440,0.06493174061433447,0.8643824269450189
3,2020,1283103587.0,1036,23440,0.04419795221843004,0.8643824269450189
4,2020,1291425158.0,1006,23440,0.04291808873720136,0.8643824269450189
5,2020,149899117.0,845,23440,0.03604948805460751,0.8643824269450189
6,2020,57206974.0,817,23440,0.03485494880546075,0.8643824269450189
7,2020,2252078561.0,732,23440,0.031228668941979523,0.8643824269450189
8,2020,177725633.0,703,23440,0.02999146757679181,0.8643824269450189
9,2020,40120149.0,542,23440,0.02312286689419795,0.8643824269450189
10,2020,160992636.0,464,23440,0.019795221843003412,0.8643824269450189
11,2020,201448701.0,453,23440,0.019325938566552903,0.8643824269450189
12,2020,63966007.0,411,23440,0.017534129692832766,0.8643824269450189
13,2020,2945602774.0,397,23440,0.016936860068259386,0.8643824269450189
14,2020,95457486.0,392,23440,0.016723549488054608,0.8643824269450189
15,2020,130701444.0,346,23440,0.014761092150170648,0.8643824269450189
16,2020,122411786.0,336,23440,0.014334470989761093,0.8643824269450189
17,2020,145311948.0,321,23440,0.013694539249146757,0.8643824269450189
18,2020,35440088.0,251,23440,0.010708191126279864,0.8643824269450189
19,2020,99065089.0,247,23440,0.010537542662116041,0.8643824269450189
20,2020,1304085615.0,235,23440,0.010025597269624573,0.8643824269450189
21,2020,74973139.0,229,23440,0.00976962457337884,0.8643824269450189
22,2020,55732556.0,225,23440,0.009598976109215018,0.8643824269450189
23,2020,1343180700.0,195,23440,0.008319112627986349,0.8643824269450189
24,2020,66946132.0,174,23440,0.0074232081911262794,0.8643824269450189
25,2020,185261750.0,157,23440,0.0066979522184300345,0.8643824269450189
26,2020,19820366.0,156,23440,0.0066552901023890785,0.8643824269450189
27,2020,157725225.0,148,23440,0.006313993174061433,0.8643824269450189
28,2020,205783295.0,147,23440,0.006271331058020478,0.8643824269450189
29,2020,130238516.0,134,23440,0.005716723549488055,0.8643824269450189
30,2020,156087764.0,132,23440,0.0056313993174061435,0.8643824269450189
31,2020,185103710.0,130,23440,0.005546075085324232,0.8643824269450189
32,2020,70931966.0,128,23440,0.005460750853242321,0.8643824269450189
33,2020,172675005.0,128,23440,0.005460750853242321,0.8643824269450189
34,2020,1298482675.0,128,23440,0.005460750853242321,0.8643824269450189
35,2020,27804330.0,124,23440,0.005290102389078498,0.8643824269450189
36,2020,110883965.0,119,23440,0.00507679180887372,0.8643824269450189
37,2020,111979921.0,117,23440,0.004991467576791809,0.8643824269450189
38,2020,106165777.0,114,23440,0.004863481228668942,0.8643824269450189
39,2020,27837315.0,112,23440,0.00477815699658703,0.8643824269450189
40,2020,1341412227.0,104,23440,0.004436860068259386,0.8643824269450189
41,2020,45129253.0,103,23440,0.00439419795221843,0.8643824269450189
42,2020,1174212.0,101,23440,0.0043088737201365185,0.8643824269450189
43,2020,161318765.0,99,23440,0.004223549488054607,0.8643824269450189
44,2020,187531555.0,92,23440,0.003924914675767918,0.8643824269450189
45,2020,123044942.0,89,23440,0.003796928327645051,0.8643824269450189
46,2020,161046081.0,89,23440,0.003796928327645051,0.8643824269450189
47,2020,114027177.0,86,23440,0.0036689419795221845,0.8643824269450189
48,2020,62916508.0,83,23440,0.0035409556313993175,0.8643824269450189
49,2020,20231570.0,77,23440,0.0032849829351535836,0.8643824269450189
50,2020,1327163397.0,75,23440,0.0031996587030716723,0.8643824269450189
51,2020,99464096.0,74,23440,0.0031569965870307166,0.8643824269450189
52,2020,1299303238.0,72,23440,0.0030716723549488053,0.8643824269450189
53,2020,151746483.0,71,23440,0.0030290102389078496,0.8643824269450189
54,2020,142879360.0,69,23440,0.0029436860068259387,0.8643824269450189
55,2020,149213910.0,65,23440,0.002773037542662116,0.8643824269450189
56,2020,170897317.0,64,23440,0.0027303754266211604,0.8643824269450189
57,2020,165932596.0,62,23440,0.002645051194539249,0.8643824269450189
58,2020,98677209.0,61,23440,0.0026023890784982935,0.8643824269450189
59,2020,174306211.0,60,23440,0.002559726962457338,0.8643824269450189
60,2020,135140700.0,58,23440,0.0024744027303754265,0.8643824269450189
61,2020,166337079.0,57,23440,0.002431740614334471,0.8643824269450189
62,2020,1306409833.0,57,23440,0.002431740614334471,0.8643824269450189
63,2020,44504214.0,55,23440,0.00234641638225256,0.8643824269450189
64,2020,154570441.0,53,23440,0.0022610921501706486,0.8643824269450189
65,2020,131249849.0,52,23440,0.002218430034129693,0.8643824269450189
66,2020,16391192.0,51,23440,0.0021757679180887373,0.8643824269450189
67,2020,45438204.0,51,23440,0.0021757679180887373,0.8643824269450189
68,2020,129604602.0,51,23440,0.0021757679180887373,0.8643824269450189
69,2020,139264467.0,51,23440,0.0021757679180887373,0.8643824269450189
70,2020,154425047.0,50,23440,0.0021331058020477816,0.8643824269450189
71,2020,889458895.0,47,23440,0.0020051194539249147,0.8643824269450189
72,2020,1326498283.0,47,23440,0.0020051194539249147,0.8643824269450189
73,2020,241749.0,46,23440,0.001962457337883959,0.8643824269450189
74,2020,30809798.0,46,23440,0.001962457337883959,0.8643824269450189
75,2020,74801974.0,46,23440,0.001962457337883959,0.8643824269450189
76,2020,36258959.0,45,23440,0.0019197952218430034,0.8643824269450189
77,2020,32971472.0,43,23440,0.0018344709897610922,0.8643824269450189
78,2020,2250955327.0,42,23440,0.0017918088737201366,0.8643824269450189
79,2020,146230289.0,41,23440,0.001749146757679181,0.8643824269450189
